Issuer,StartsWith,Length
"American Express",34,15
"American Express",37,15
"China UnionPay",62,16
"China UnionPay",62,17
"China UnionPay",62,18
"China UnionPay",62,19
"Diners Club International",300,16
"Diners Club International",301,16
"Diners Club International",302,16
"Diners Club International",303,16
"Diners Club International",304,16
"Diners Club International",305,16
"Diners Club International",300,17
"Diners Club International",301,17
"Diners Club International",302,17
"Diners Club International",303,17
"Diners Club International",304,17
"Diners Club International",305,17
"Diners Club International",300,18
"Diners Club International",301,18
"Diners Club International",302,18
"Diners Club International",303,18
"Diners Club International",304,18
"Diners Club International",305,18
"Diners Club International",300,19
"Diners Club International",301,19
"Diners Club International",302,19
"Diners Club International",303,19
"Diners Club International",304,19
"Diners Club International",305,19
"Diners Club International",38,16
"Diners Club International",39,16
"Diners Club International",38,17
"Diners Club International",39,17
"Diners Club International",38,18
"Diners Club International",39,18
"Diners Club International",38,19
"Diners Club International",39,19
"RuPay",60,16
"RuPay",6521,16
"Dankort",5019,16
"MasterCard",2221,16
"MasterCard",2222,16
"MasterCard",2223,16
"MasterCard",2224,16
"MasterCard",2225,16
"MasterCard",2226,16
"MasterCard",2227,16
"MasterCard",2228,16
"MasterCard",2229,16
"MasterCard",2230,16
"MasterCard",2231,16
"MasterCard",2232,16
"MasterCard",2233,16
"MasterCard",2234,16
"MasterCard",2235,16
"MasterCard",2236,16
"MasterCard",2237,16
"MasterCard",2238,16
"MasterCard",2239,16
"MasterCard",2240,16
"MasterCard",2241,16
"MasterCard",2242,16
"MasterCard",2243,16
"MasterCard",2244,16
"MasterCard",2245,16
"MasterCard",2246,16
"MasterCard",2247,16
"MasterCard",2248,16
"MasterCard",2249,16
"MasterCard",2250,16
"MasterCard",2251,16
"MasterCard",2252,16
"MasterCard",2253,16
"MasterCard",2254,16
"MasterCard",2255,16
"MasterCard",2256,16
"MasterCard",2257,16
"MasterCard",2258,16
"MasterCard",2259,16
"MasterCard",2260,16
"MasterCard",2261,16
"MasterCard",2262,16
"MasterCard",2263,16
"MasterCard",2264,16
"MasterCard",2265,16
"MasterCard",2266,16
"MasterCard",2267,16
"MasterCard",2268,16
"MasterCard",2269,16
"MasterCard",2270,16
"MasterCard",2271,16
"MasterCard",2272,16
"MasterCard",2273,16
"MasterCard",2274,16
"MasterCard",2275,16
"MasterCard",2276,16
"MasterCard",2277,16
"MasterCard",2278,16
"MasterCard",2279,16
"MasterCard",2280,16
"MasterCard",2281,16
"MasterCard",2282,16
"MasterCard",2283,16
"MasterCard",2284,16
"MasterCard",2285,16
"MasterCard",2286,16
"MasterCard",2287,16
"MasterCard",2288,16
"MasterCard",2289,16
"MasterCard",2290,16
"MasterCard",2291,16
"MasterCard",2292,16
"MasterCard",2293,16
"MasterCard",2294,16
"MasterCard",2295,16
"MasterCard",2296,16
"MasterCard",2297,16
"MasterCard",2298,16
"MasterCard",2299,16
"MasterCard",2300,16
"MasterCard",2301,16
"MasterCard",2302,16
"MasterCard",2303,16
"MasterCard",2304,16
"MasterCard",2305,16
"MasterCard",2306,16
"MasterCard",2307,16
"MasterCard",2308,16
"MasterCard",2309,16
"MasterCard",2310,16
"MasterCard",2311,16
"MasterCard",2312,16
"MasterCard",2313,16
"MasterCard",2314,16
